,Comment,Sentiment
62,Wow new s23 ultra. I will buy it today,Positive
63,"Watching again after the release of s23 ultra , this shows how samsung is reall and confident, this video can stay in samsung channel overs years if they want to ❤❤❤❤love samsung",Positive
64,Gotta buy this phone soon since my cp broken,Neutral
65,Best dumb phone from Samsung 😂 now that S24 AI phone is launched. It seems Samsung reached it's peak already 😅,Positive
66,"Apple is way 500 years late, apple is just a brand name, Samsung is a mobile phone.",Neutral
67,I loved it but I don't have enough to buy it!,Positive
68,"It is the worst mobile device in the world. I have used Samsung all my life, but I wasn't really satisfied this time. The charging socket broke down after only five months, not to mention the poor manufacturing.",Negative
69,i cant wait for s24 ultra,Positive
70,samsung i am waiting for s24 ultra,Positive
71,january present of galaxy s24 ultra,Neutral
72,Boring,Negative
73,Thank you samsung I have always loved your phones and my first phone is you a04e thank you for making it and making it cheap I love you samsung and it even runs android 13 freely,Positive
74,"Not Registered On Nwtwork!
still persistent! $@&#&#&#^@^@>
what's up Samsung!
the technician said:  it's my device cutting off the connection!
$1200 useless expensive %#*#;$,$*#,#*",Negative
75,This advert tells me more about Samsungs marketing budget than it does about the actual phone.,Neutral
76,I love thes❤🎉,Positive
77,i really love my samsung s9+ but i am thinking of getting this... hhhmmm,Positive
78,Got it.,Positive
79,nah they didnt have to go that hard,Neutral
80,My favourite better than the samsung galaxy s3 damit sooooo christano renaldo ishowspeed,Positive
81,Provide it under 1lakh please,Neutral
82,What a great phone,Positive
83,"I remember... in Philippines on a little island. We met people from all over the World. There was an old Korean couple. They did ask :"" What do You think of Korea?"" Everyone tried to say something about food or irrelevant things. I said :"" Samsung "" ❤ the rest of the people did boo and squeeze their apples, but me and the old Korean couple did bow to each other. Respect!",Neutral
84,"I remember... in Philippines on a little island. We met people from all over the World. There was an old Korean couple. They did ask :"" What do You think of Korea?"" Everyone tried to say something about food or irrelevant things. I said :"" Samsung "" ❤ the rest of the people did boo and squeeze their apples, but me and the old Korean couple did bow to each other. Respect!",Neutral
85,Loooooove this,Positive
86,now that s24 will be launch im excited to have s23 ultra😂 100x zoom,Positive
87,Great video!!!!!!!,Positive
88,Apple iPhone 15 pro max good❤🎉,Positive
89,Can I use your clip to my other YouTube channel 0:09 To 0:15,Neutral
90,Love that phone,Positive
91,I dont think the S24 will come Jan 17th we didn't get a trailer yet,Neutral
92,"Crazy that I bought an S23 Ultra and never saw this Ad,  but I'm watching from my S23 Ultra right now!",Positive
93,I am watching this on the samsung s9,Neutral
94,i have s23 but gonna wait for s25 🎉,Positive
95,Ahhh never been proud to be a True Samsung user since 2014!,Positive
96,Please bring satellite connectivity to S24.,Neutral
97,Wow! This was great. I cannot wait to get my hands on the newest generation of the Samsung S Series Phone. Especially the S23 Ultra. 😊❤🎉,Positive
98,"Ultra series is the best!
Dont stop itttt!!!!!!❤",Positive
99,Wow i wish i have samsung But i have LG does lg users still count,Neutral
100,What happened with the samsung note? I thought the pen was exclusive to the note. Not complaining thoe,Neutral
101,Minneapolis in the building,Neutral
102,This seems to be so much better than the iphone 15pro(max) but I don’t want to change just because i think the android emojis are ugly🥲💀,Positive
103,Samsung I hope u will work seriously on the s24 ultra camera because the s23 camera takes darker photos in direct sunlight     . hope next it will be different,Positive
104,"why Samsung very bad video 
I like s20 s21 s22 ultra best videos",Neutral
105,I wish to have samsung but I have lg,Neutral
106,Here we go with the space brainwashing 😂,Negative
107,Give me Galaxy S23 ULTRA Please,Positive
108,Samsung Please Please Please make S24 ultra in GOLD color. we need it in gold.,Positive
109,I am watching this on s23 ultra😂😂😂😂😂,Neutral
110,Where's the guy cutting the phone with scissors? Did I fall for ANOTHER Reel?,Negative
111,And ppl from the US still think IPhone is better 😭,Negative
112,Most boring and non professional Add. It is like a Toy Add for kids,Negative
113,Last sound of this introduction means ultra,Neutral
114,"*I was trying to figure out where my pen 🖊 was, and also trying to figure out the button on the bottom left does, only to realize after watching this that it was my pen, lol.*",Neutral
115,This phone>>>>>>>The rest,Neutral
116,Please introduce s24 ultra with kaleo way down song,Neutral
117,"As Indian i suggest only one problem in primum Samsung smartphone is symbol , i think samsung make s name symbol in bottom only in ultra phone, so someone notice is a rich family or showoff, please change your mind set samsung, when i bought i realy need this type of feature",Negative
118,"Worst phone ever as I'm typing on it, literally dropped this thing while crouching so you can imagine how close i was to the floor? It the screen shattered to a million pieces, I have dropped phones from a full flight of stairs with not a simple sractch, but this junk here was cracked, and now they are asking me for $350+ to repair it, guys for a phone that costs $1400 it should not have been this fragile, I used advocate for samsung, and now imma make sure to never buy any samsung device ever again, their customer service wasted my time and no solution was given 😌",Negative
119,"Guys always, always needs girls to explain technology to them.",Neutral
120,"I'm very disappointed with the Samsung s21 s22 s23 as they do not have sd card slot or 3.5mm jack i was looking forward to buy the s22 or s23 but there are no Sd card or jack aux. so i will not be buying any new Samsung s series and wont be recommending anyone to buy it, unless Samsung brings back the Sd card slot or 3.5mm jack.",Negative
121,10 months later and I've just brought one ❤,Positive
122,£600!! No thanks. Over priced rip off.,Negative
123,"Did an update on the phone and now i can't access it, you have no idea how pissed i am Samsung.",Negative
124,It better have ifacialmocap!!,Positive
125,"Been using it for a couple days.  All I can say is, wow",Positive
126,"The worst phone I've had from the S series. It freezes, when I increase or decrease the volume it resumes. Much, much better S21 ultra.",Negative
127,"Before purchasing Samsung product, read terms and conditions.
Samsung not accepting the 14 days product return policy.",Negative
128,I have the S23 and it's not bad...,Positive
129,Samsung just kill it this phone is so good,Positive
130,how to fix white green screen?,Neutral
131,"Me, watching this on an iPhone, makes me wanna switch to Samsung 😂",Positive
132,Phone of the year s23 ultra,Neutral
133,"No matter what but I'll always stick with my s23 ultra now ❤ its been 10 months already & am satisfied with it 
Samsung never disappoints 
Its been a long time wanted to Upgrade for a Flagship that's worth it ❤❤",Positive
134,Apple user said the spen is grimmer but is way better,Positive
135,Watching our dreams 😢,Negative
136,Ultra should back for slightly curved display like s23 ultra,Neutral
137,Best Phone In This Universe 💯💯🔥🔥💫💫⭐⭐🌟🌟✨✨🤩🤩😍😍🥰🥰👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻,Positive
138,People commenting about apple disabling comments but iphone 15 pro's animation are way smooth and better than Samsung galaxy s23 ultra. Visit any electronic store and use simultaneously to know the difference. But we will still have Samsung in my family,Positive
139,Can't wait to buy Samsung S24 Ultra with 2TB memory!,Positive
140,This phone super,Positive
141,Can this spen work with tab s9 ultra,Neutral
142,The phone is beast. Samsung came with it on this hone,Positive
143,When release S24 ultra 😪🥺?,Neutral
144,I need to test Galaxy S23 Ultra,Neutral
145,Samsung always make fun of apple design yet they also repeat the same design as last year still apple gain popularity over the years. Moral If you can't beat them join them😂😂😂,Neutral
146,I'm so happy that I bought my s23 ultra yesterday.  It's almost after 8 months,Positive
147,Why didn't Samsung Galaxy A74 come out? What's up with that?,Negative
148,"s24 Altra S PEN can control TikTok video or photo. 
If s24 can I will buy it even I have s23 😊",Positive
149,Can you send me that 🤣,Neutral
150,Samsung needs a new marketing team… This was horrible to watch,Negative
151,"when they have to use cgi to show you the difference, not worth it. sadly s24ultra won't be worth it also",Negative
152,They wouldn’t even use a real photo produced by the phone. All simulated images,Negative
153,Beautiful and classy! 👌💙,Positive
154,Battery backup is so bad after one uI 6.0 update. Plz fixed this.  Divice Samsung s23 ultra. Plz fixed Samsung.,Negative
155,"Really good phone, could've been better if I can afford it lol",Positive
156,Samsung Galaxy is better than iphone 😍😍😍,Positive
157,Tbh I regret switching to iPhone when I had Samsung 💔 can’t wait to switch back 🙏🏼,Positive
158,That was superepic!!!,Positive
159,Is it expensive deeper contrast with natural color for low price AMOLED?,Neutral
160,"That phone can be swim in water, how about affective of phone speaker?",Neutral
161,I have galaxy s23 ultra,Neutral
162,2 years..burn in screen,Neutral
163,This is my phone right now  😊😊😊,Positive
164,Ad is not good but I may consider s23 ultra if its available at appropriate price.,Neutral
165,Quality people use iPhone and others use other phones,Neutral
166,Every comment with more than 10 replies is most likely a paid comment.,Neutral
167,Software update goes to iPhone😂 it's a fact,Positive
168,What a wonderful phone!,Positive
169,My father  fon,Neutral
170,Have had the s23 ultra for almost 3 months and since day 1 I have had to reset it(hold volume up and power button) and clear cache. If I don't it won't play videos or load pages. Checked online and saw multiple people have this issue and samsung doesn't take responsibility.  Never been so upset to have a 1300$ paperweight before. Found out it is a bug from a system update that cannot be fixed until samsung releases an update for it...anyone want to but a busted phone? Never again scamsung!,Negative
171,"watching this from my s23 ultra, Alhamdulillah 🫢",Neutral
172,apple is better,Positive
173,Only one thing if Samsung can manage then definitely will maintain number one place by releasing little small version of S24 Ultra model,Positive
174,Perfect!,Positive
175,me with my s6 at 23 battery health 😣,Neutral
176,Bro I changed over I phone !,Neutral
177,Seriously Samsung why did you remove the charger from the box its not going to reduce cardboard usage,Negative
178,Watching on my Xiaomi Redmi note 9,Neutral
179,0:18 iPhone had this since iPhone 8 it’s called True Tone,Neutral
180,"This phone is amazing! Always a Samsung fan, I have tried a few iPhone (when I had to temporarily use them) 5s, XR, iPhone 14, all were just ok. User friendly and just mediocre power. The S23 is over kill and I love it!",Positive
181,What a beautyyy❤,Positive
182,"We all switched from stupid Samsung curve screen to iPhone flat screen. Much much better.
But i still miss my old LG flat screen, that was the best phone.",Positive
183,watching this one my new iphone 15 pro max 💀,Neutral
184,S23 Ultra is the best King of all Samsung's i have it since March mental phone never goes wrong!!..,Positive
185,"Curved screen breaks easily, just turn off the screen, it is very bad, what do you do to waste time and money because it tears the memory 😭😭😭",Negative
186,"Curved screen breaks easily, just turn off the screen, it is very bad, what do you do to waste time and money because it tears the memory 😭😭😭👎👎👎💩💩💩💩💩💩💩💩💩💩💩💩💩💩",Negative
187,"sumsng s23 uitra I took a photo and the gallery doesn't work, please help me, what should I do?",Negative
188,"1:46 Those apple fans who said SAMSUNG didn't tell us they used AI to process the image... C'mon...
BTW, at least SAMSUNG did process the image, not just brighter it 😅",Neutral
189,Yo this video ain’t it 🤣,Negative
190,I'm thinking of getting this,Neutral
191,"Now this is INNOVATION...
not some yet another drama from ifon devz

Kudos to Samsung and the Team. You guys are awesome for making such masterpiece 👊🥰",Positive
192,This was fun to watch.,Positive
193,Both Apple and Samsung do great phones why can't we just accept that😂 I have s23u and still love iphones but I think they are more feminine late years however ip15pro blue looks sick,Positive
194,i can tell this is the script of stoner because of the plots are jumping like high AF.,Negative
195,well i compared my uncles samsung s 23 ultra with iphone 14 promax.Both phones are samely good but samsung's camera is cooler than iphones when it comes to Megapixel,Positive
196,Pathetic Spen material. Got burned just by the normal heat while applying the screen protector.,Negative
197,"bad idea why samsung block the phones in Mexico, i never buy a samsung again bye samsung hello apple.",Negative
198,Worst network connectivity i am using it for last 20 days every day I call sumsung care but no one solve problem,Negative
199,Waiting for s24 🔥,Positive
200,Can someone tell me how good the battery is ?,Neutral
201,The goat of android phones,Neutral
202,24 million views for the S 24🔥🔥,Positive
203,Switched from the iphone 3 to the S7 edge back in the day and the S7 is a litteral monster for its time,Neutral
204,One of the best,Positive
205,Samsung  has bien better then iphone.,Positive
206,"Why tf did i switch to iphone, i want my galaxy back",Negative
207,I bought this today❤😊,Positive
208,now my hand.😊❤,Positive
209,"I hope the ugly design of the Galaxy S22 Ultra and S23 Ultra will not be repeated in the S24 Ultra.  Samsung was once a creative and unique company.  Every year it launched the S series with a new design and new features.  However, it still launched the Galaxy Note again mid-year with a new design.  But now, just a year later, it introduces the Galaxy S with the same ugly and boring design, and Samsung repeats everything Apple did.  Apple's approach to design is repeated from iPhone 12 to 15.  Now Samsung doesn't want to be left behind.  It repeats the same thing in Galaxy S.",Negative
210,"High class innovation, I love you guys!❤❤❤✌️✌️✌️",Positive
211,How much  I am Ilaq,Neutral
212,"Notice how Apple disabled the comments on their iPhone 15 ad, but here we are commenting freely on a Samsung ad.",Neutral
213,COMPLAINTS PHONES,Neutral
214,THE BEST COMMERCIAL !!!! S24 ULTRA 1,Positive
215,THE BEST COMMERCIAL !!!!!!!!!!!!!!!!!!!!!!!!!,Positive
216,From J1 To S23 Ultra Waiting the next Event ❤,Positive
217,"Don't worry samsung Even if iPhone 15,  16, 17 comes, it cannot beat this model the king of samsung galaxy ultra series s23 ultra❤🔥",Positive
218,Editer needs oscar,Neutral
219,"The video is a little bit cringe, but the phone is AWESOME 😎👌🏻",Positive
220,And did you know the galaxy S 23 ultra S pen actually has hover,Neutral
221,SAMSUNG>>>iphone,Neutral
222,I loved my Beige S23 Ultra so much I just had to order the Graphite! It'll be here in a month!😢 but knowing Sammy It'll be more like 2 weeks!! This is the best Phone ever by Samsung! 2:43,Positive
223,Apple we  got type c port!,Positive
224,Cant wait for the S69,Positive
225,Been between samsung and iPhone and honestly I miss samsung not a boring phone at all you learn something new ever day,Positive
226,"Kudos to SAMSUNG for giving powerful in all parameters phone like this S23; S23 plus & S23 Ultra  ❤❤🎉🎉🎉🎉🎉

One humble request & suggestion from me to consider:

Kindly make S23 Ultra design as like of S23 & S23 Ultra, I mean that to make as ROUND CORNER design instead of existing boxy design one

Kindly consider my request for upcoming S24 series

I wish to buy this S23  Ultra but only keep me away from reason is its boxy design 

If who ever agrees with my request, Kindly hit that like button

Iam as of now using S20 fe 5g bought May 2023, priorly Samsung Note 4 (2015) & Samsung 

I am Samsung fan boy since 2015 & become addicted to One UI since then

Most of our family members use Samsung mobile phone s

❤
Thanks & Regards 
G Suresh",Positive
227,fix your fuc**** accidental touch first then move to more innovations,Negative
228,Better than iphone 15 😂,Positive
229,"how beautiful is Samsung Galaxy S23 Ultra, I want to buy it right now!!!!",Positive
230,"Oh, wow! It's absolutely mind-blowing how Apple managed to create such an unbelievably revolutionary design with the iPhone 11... and then decided to stick with it for eternity! I mean, who needs innovation when you can just keep the same design with minuscule changes every year, right?

But hold on to your hats, folks, because just a few days ago they decided to grace us with the remarkable iPhone 15! And guess what? It looks exactly like its predecessor! I can only imagine the sheer audacity of the designer responsible for the iPhone 11, relentlessly pushing for this groundbreaking design to become an Apple trademark. Talk about clinging on to pride!

But alas, this brilliant decision to recycle designs like it's nobody's business is undoubtedly proving to be the pinnacle of Apple's creativity! Who needs to explore new horizons or surprise their customers when they have the perfection of the iPhone 11 to idolize forever? I'm sure they've got the customers lined up, eagerly awaiting the same exact design they've been drooling over for years!

Kudos to Apple for revolutionizing the concept of stagnation and setting a whole new standard for ""reinventing the same wheel."" I'm sure their loyal fanbase is bursting with excitement at the prospect of purchasing yet another iPhone that looks just like their current one. Bravo, Apple, bravo!",Positive
231,Anybody here after the i phone 15 series official launch 😂,Neutral
232,Switching to Samsung I'll think about it!!,Neutral
233,When you a so confident about yourproduct you do not turn off commenting. Still wish the lcds were cheaper.,Neutral
234,They didnt turn off comments,Neutral
235,Love how Samsung keep the comments section open whilst apple has its comment section turned off 🤣,Positive
236,That's Why I hate iPhone users 😏,Negative
237,Phone is nice .... but still in this era if we have to use stylus/pen to operate phone... cumon samsung you can do better... I really want to buy this phone but stylus is disappointment for me..,Negative
238,Is this phone have external Ss card ??,Neutral
239,I love Samsung so much.  But currently Samsung is making very bad phones at a low price. This is reducing the Samsung brand value a lot.  Many people buy cheap phones with poor performance and say that Samsung phones are bad phones.  Hearing this makes me angry because Samsung is the number one brand in the world.  Hope you will take appropriate action.,Negative
240,Who I p ? 😂😂😂,Neutral
241,"My dream phone 
Please some gift me 😭😖😭",Positive
242,The greatest smartphone ever.,Positive
243,Still the best ❤,Positive
244,If compared with other phones design wise. It's just a boxy design not so good looking.,Negative
245,The best smartphone in the world,Positive
246,Watching this in 23U,Neutral
247,"Watched on my S23 Ultra, so immersive! So pretty!",Positive
248,So much perfect 👌👍,Positive
249,Loving the branding message Samsung,Positive
250,"I think the only thing is missing on here is an IR...
Would you please consider that ?
& what is your opinion on that ?",Negative
251,I enjoy watching the international they are pretty cool too which,Positive
252,I love it this phone😀,Positive
253,This is my dream💔😔,Neutral
254,Why there is no charger in this expensive phone .....If this effect our ecosystem so why they sell charger external source...,Negative
255,Sam sang can u send me one plese,Neutral
256,Amazing Samsung innovation beyond anyone else ..❤,Positive
257,"Incredible disappointed I want to cry, DO NOT BUY THIS PHONE, I have it for almost a month and the screen is already broken. i had doubts about the display resistance, but man it is horrible verry horrible. I placed the phone on the sink and it felt in the sink like 10cm is the distance and the side of the screen which is round for some reason and there is no protection for this kind ok screen,  cracked. Not only that but a powerful green line apeeard on the display were it cracked. Now I have to pay more than a quarter of this entire price for the phone just to change the screen. i am devastated and I really regret that I spent my money on this very expensive phone. I had many phones but near this expensive and never had this happed to me. Do not buy phones with round display is a design failure. Horrible experience",Negative
258,Translation: nothing new since s9,Neutral
259,can i use this vedio in my channel .,Neutral
260,Finally watching this in my new s23 ultra.,Positive
261,"No headphone jack
No charger L phone 
Oppo A5 & PS5 >>>>>",Neutral
262,Couldn't hepl it had to watch it again on the s23ultra,Neutral
263,God continue to bless Samsung for ever,Positive
264,Bring back the sd memory card please😢😢😢❤️,Positive
265,I have bought  this mobile yesterday,Neutral
266,"I was happy with my 4 years-old S10+, but the new stuff the S23 Ultra brings (plus a little bit of old age and storage issues surfacing in the S10+) really made me go for the newer phone!",Positive
267,"1 my phone journey 
Samsung corby 2
Samsung note 3
Samsung s8 plus
Samsung s21 ultra 
But now I m going to update it with s23 ultra 
Sometimes it disappoint me tge note 3 and sc21 ultra both mother bord issue which cost so heavy ammount it disappoint me.. plz make it mor stronger

But Samsung features make me to choose again and again to samsung",Negative
268,it's price please,Neutral
269,Is it a phone worth buying? 1000 dolars,Neutral
270,It's a 600 hundred trillion dollars industry how much can you affordable?,Neutral
271,2:33 @ThatWasEpic11 😀,Positive
272,what is the name of the game?,Neutral
273,what is the name of the game?,Neutral
274,"I was doing research on a new phone since my front glass on my s20 ultra cracked and I can't get it replaced. Before I saw this commercial I was like, ya this makes sense. Now after this video, I don't want it anymore because of how cringe it was.",Negative
275,Watching on my s23ultra❤,Positive
276,Samsung allows comments on their new product. Can't say the same for Apple. I guess Samsung values feedback more than Apple.,Neutral
277,IT IS USED advanced processor to give more skilled works,Neutral
278,Apple is crying right now,Negative
279,"so truetone, another a.i photography scam, and adjusting stuff with a pen that i can do with my fingers?

pass.

great device though.",Neutral
280,"WOW! gave me chills in the end😮 Makes my 'Note 20 Ultra' look like nothing...
Lol 😅",Positive
281,"The switch from Apple to Samsung S23 Ultra was absolutely worth it
The S23 Ultra is a true beast ❤
Great work, Samsung!!",Positive
282,did they take mushroom?,Neutral
283,"It's S23
I just saw 23M views on this😮😮😂",Neutral
284,When will you send the Samsung galaxy watch 6 and Samsung galaxy 6 classic in Bangladesh ?,Neutral
285,Galaxy part is impressive,Positive
286,"Great product and I love it.
Only huge No No is the C type earphones (no jack). 
The phone always goes crazy deciding between the charger or the earphones.",Positive
287,"Can I just say as a Samsung user for over 7 years now I've appreciated the tech that has been applied over the years.  Nothing has ever come close to samsungs cameras for photography for me.  I've always purchased the ultra as I wanted the best cameras but saying that I also like an aesthetically pleasing phone.  A phone that just feels good in the hand and comfortable to use.  My current phone is the s20 ultra.  I've never like the note series.  For that purpose I've not upgraded for 3 years because I don't want to downgrade on the cameras and I think the latest ultras are ugly and boxy.  Like holding a brick.  I did contemplate going with the 23+,  it looks amazing.  The rounded corners I love and also the flat sides and screen just makes it all the more pleasing to look at but then there's the cameras.  I'd be limited with what I can do so I've decided to continue on with the 20 ultra for now.  Six months down the like now since the 23 release and I've researched and watched a million reviews especially on camera comparison between the range.  If you made the plus with all the specs of the ultra then I'd be sold.  Not everyone likes those sharp edge corners,  hence why you had the notes for those who did.  Bring back the ultra with the smooth,  seemless rounded corners please,  I'm loving the flat screen as it looks nicer then the curved screen of the 20 ultra but please listen to all the comments in the hundreds of reviews so far about the ultra specs in the body of the plus.  I'll wait another 6 months to see what your going to do with the 24 range.  I will say so far though you've lost out in 2 years of upgrade sales from me alone,  others must feel the same.  I like a shiny new phone every Feb like the other Samsung fans,  I don't want to go another year without upgrading 🙏🏼",Positive
288,"Samsung Galaxy S24 Ultra 5G predicted specs

Speed 3.5 or 3.6 gHz

Camera - 200MP, 50MP front facing camera

Battery life - 6000MAH or 5000 (most likely)

Screen size - 6.8

Security - Facial, Fingerprint, Pattern, Password, Pin. Motion detector.

Price - $1300 or $1400 256 gb, up to 2048 gb, 2TB 

Chipset - Exynos 2430 or Snapdragon Gen 3.

Pixel density - 550 PPI

Features - 8K recording 60fps or 120fps

New 150X zoom.",Neutral
289,"OK haters laugh it up This Friday about two days ago, I just got Galaxy S23 ultra and it was absolute mind blown. No, SD card it has 263 GB Storage I can do if I want and also I can delete some footage is not suitable, that is very work for me at least I need to change something new because galaxy note 10 it’s way too old. I need a new one for sure.! Way to go Samsung! ha ha laugh it up I’ll show you A real deal on Instagram if you don’t believe me.",Positive
290,"Hey! Everyone, hope all of you seeing this video. I am an Intermiddiate student and I know I have to do study now. With the era of S23 Ultra don't know That how charismatic S25 ultra & iPhone 16 pro would be.waiting for them. Wish me luck 🤞.",Positive
291,I phone way better,Positive
292,I want both iPhone pro and galaxy s 24,Positive
293,"S-pen  S23 Ultra and S22 Ultra extrem STINKY.
It stinks even after three washes. Very bad material 🤮",Negative
294,the most beautiful phone i have seen 💕,Positive
295,"Switched from the iphone 14 pro max to s23 ultra, im loving it, one issue, when i take pictures on the 200 mega pixel camera and take pictures, it turns out fine, but after the ai fixes it, it turns blurry, any reason?",Positive
296,I have a iPhone 12 but it’s getting slow after like 11 months I want to get a s23 ultra next,Positive
297,Can you low price of samsung s23 ultra??,Neutral
298,"@Samsung please launch, A series rich good looking smartphones with Snapdragon 8 gen 1 processor or Snapdragon 888 plus processor with great battery life excellent camera, and PPI 400 plus . Also with fast charger.",Positive
299,"The iPhone do that like 5 years ago! 

Why u need a pen if u have a finger (STEVE JOBS)",Neutral
300,It's too much 😂,Neutral
301,why not just buy photo camera ?,Neutral
302,"As far as we see an object with normal eyes, the objects seem far away in Samsung's camera.... So how logical is the title of Zoom being given to this phone.......🥕🥕🥕",Neutral
303,Cant get more GENZ than this,Positive
304,Such an interesting phone screen is so big and I like big screens,Positive
305,"Fantastic technology advancement. 

Version 5 is the best-to-date. 

I currently have a Samsung Galaxy Flip 4, also good.",Positive
306,Wow this is so cool 1:28 times later…,Positive
307,S23 ultra owners like this comment,Neutral
308,But but but .......my apple's got air drop. ***Not fair**** 😢,Negative
309,How much is this phone,Neutral
310,That is 5G 😊❤,Positive
311,got s23 ultra 4 days ago and watching this on it 💪💪💪💪💪,Positive
312,Watching this in my S10+ and loving this device.,Positive
313,S23 Ultra is the beast I love my 1,Positive
314,I wanna get this phone,Positive
315,Why We Are Wearing Some Beanie To Our Life Of Our Self From This Promo Commercial Advertisement 😁😁,Neutral
316,I want iPhone and this one and I will get them.,Positive
317,My iPhone will last way longer than this lol,Positive
