Comment,Sentiment
"bro, try not be so happy. xiaomi is pissing you off by just their 90watt ultra extreme charging and her latest and most powerful camera lens. don'touch t ignore getting this comment. also make that the exynos exclusive for android s24 in all markets because it just feels awkard not ifcolor",Negative
You missed the brand new 10x telephoto intro!  😂,Neutral
"I bought it, it comes without a recharger. Really?? For this price you couldn't include a recharger? And you had to make it out of the standard? This would've been a deal breaker for me had I known.",Negative
"so truetone, another a.i photography scam, and adjusting stuff with a pen that i can do with my fingers?

pass.

great device though.",Neutral
Very nice samsung,Positive
This is the most amazing of all 🎉❤ you Samsung,Positive
"Curved screen breaks easily, just turn off the screen, it is very bad, what do you do to waste time and money because it tears the memory 😭😭😭👎👎👎💩💩💩💩💩💩💩💩💩💩💩💩💩💩",Negative
another worst samsung phone,Negative
I know one day God will answer my prayers i like Samsung product,Positive
so save your brother money dont buy anything this phone. use worst trade... in values and least preorder on gifts. samsung has become of apple.,Negative
Waiting for s24 🔥,Positive
"Still didn’t catch up to Apple’s 2000 nits peak brightness. And the CPU speed still isn’t as great as iPhone 14 Pro 😂 

And there are still Samsung fanboys who are going to defend these new phones as “more innovative than Apple”.",Negative
and hello iphone sex haters!,Negative
Worst commercial yet?,Negative
"it's really strange to watch a video here that shows a phone under sea water ) with 3 days 2 ago, my s21 ultra could not stand 2 more minutes under water, and the water flowed inside and the phone eventually became unusable, and people are swimming nearby with iphones and they are doing really well with the same degree kind of protection as the samsung samsung support said that you can't use inside your phone in sea water what about this model, still can it not be used with water?",Negative
bro this ad is so tacky 😭,Negative
Xperia 1 v commercial is more seducing than this,Negative
then why not polymer for battery?,Neutral
its legit scary,Negative
When 90% of the phones advertisement  focuses on camera so Deep down they all are selling cameras only.,Neutral
I love big screen phone best for gaming,Positive
"Apple is a scam !!
No freedom and they sell low specs phones for double price. Always been a Samsung fan and will be.",Negative
"Still using s10+ 🥲 no money to buy it, could someone buy one for me?",Neutral
on iphone,Neutral
but this was such a bad commercial. you guys should quite definitely get improve your the writing and character directing of both these commercials,Negative
Can I purchase on EMI?,Neutral
honestly i alone didn't find anything else epic about producing this new ultra alpha device,Negative
Please introduce s24 ultra with kaleo way down song,Neutral
We are here to just watch trailer,Neutral
When release S24 ultra 😪🥺?,Neutral
I have the s22 ultra so I wasn't really impressed until it showed 1:20 Astrophoto!? The only reason I'm even thinking about upgrading already,Negative
The lion is here. ..I have to own one,Positive
Samsung has the best marketing team of all smartphones.,Positive
I don't ever see this much excitement on a boring iPhone. Samsung is really killing it with the s23 lineup. I'm gonna trade my s22 ultra for the 23 ultra,Positive
"so just they eventually got me rid because of the "" note "" name and are either calling it s23 or ultra instead",Neutral
"Curved screen breaks easily, just turn off the screen, it is very bad, what do you do to waste time and money because it tears the memory 😭😭😭",Negative
"Why its 1,25,000 rs we aren't use all features why so much cost it is. Any way phone is feeling Wow experience.",Neutral
S23 Ultra is awesome man ♥️,Positive
oh naaaahhhh.... i also want back the original sd data card and slot back!,Neutral
booring same design though,Neutral
Woah,Neutral
still cringe,Negative
"Dear SAMSUNG 
With all due respect 
Im Requesting U to please ...what devices you made in past years...
We are using that tooo...like Samsung GEAR VR WITH CONTROLLER.....which is now Almost useless because of you guys who thought of discontinuing the apps..of vr which cannot be connected to internet....
So if u are making devices for us..    please make note that ...can be used happily and what we PAID MONEY FOR ALRIGHT......SO PLEASE IM COMMENTING ON RANDOM ADVERTISEMENT OF YOURS...SO U GUYS AND OTHERS TOO....GET A NOTE OF IT
THANK YOU.... URS SAMSUNG FAN,CONSUMER SINCE PAST MANY YEARS...WE HOPE BEST FROM U AND WE DESERVE  IT...THANK YOU...AND PLEASE FIX UR PAST DEVICES.....",Neutral
Wow! Impressive,Positive
then what is the word npu?,Neutral
wow camera got phone features,Positive
"Dont know about the phone, this commercial makes me to buy it",Positive
I wish they would hide the front camera!!!,Negative
cringe tho,Neutral
they just rarely fail to really make ads as consistently good as apple,Negative
Still no charger in the box lol.,Neutral
"I'm a Samsung fan since the 1st Galaxy, but this was CRINGE",Positive
me watching live this on on my own 4 yr year old note10 + : if so and what's actually new?? the text front still looks almost the same old as my phone and only not much is different.,Neutral
i wish if they would better hide by the front of camera!!!,Negative
who has time ready to use photos full time or non wasting time only [UNK] use every body used online only twice for text media make calls and transfer photos in 1080p [UNK] no wasting time amigos so,Negative
im going to buy a new phone and i dont know what to choose whether samsung S23 ultra or the iphone 14 pro max which is better?,Neutral
One of the best,Positive
"Watching this in 144p, it's like introducing the Galaxy S2",Positive
"most of these fake reviews are ignorant and none of them are mentioning the major screen color issue of this phone , a lot of users are complaining the less saturated, gamma , contrast screen display of S23U, its a totally downgrade screen incomparable to S21U which has a better screen display,  the amoled becomes an ordinary oled screen like other phones and samsung has fooled the consumers on this phone",Negative
The More Samsung Upgrade their Phones the less Apple stands a Chance 🎯🎯🎯,Positive
Samsung's camera doesn't get better than this.,Positive
it also ’ is s okay to say that because both samsung ios and old apple are totally underwhelming.,Neutral
"or nah, glad i were still on board s22u. unless captain speker quality got improve elsewhere on the "" everything new "".",Neutral
the quick comments seem just like staged by dead samsung buzzers,Negative
"If Samsung made removable battery ,3.5 head phone jack ,fm radio and memory card slot then every iphone   customer will shift towards samsung galaxy phone.",Positive
Let's get ready for another battery explosion.,Neutral
OKay Samsung Racist much? Why you gotta include the black guy last?,Negative
cringe,Negative
Please just put 10 cameras on it and be done,Neutral
S22ult is a BOOM last year so many ppl expecting much for this! will be there any significant upgrade..?,Positive
This is quite possibly the dumbest advertising video. I’ve seen in a long time.,Negative
x 5000megapixel digital camera used when????????,Neutral
"its bgm is at just 2 : 49 38 p is out of just this world, please can anybody tell me now where can i get its full 3d version?",Neutral
join me with all my s6 at 23 battery health 4 [UNK],Neutral
Wow. We all need to check this out real soon.,Positive
Is there still thw camera shutter lag?,Neutral
i who still can't all believe that being apple is but so far a behind. samsung phones are always almost always just one or even two steps ahead.,Neutral
ray tracing tracing,Neutral
Already ordered s23 ultra. Comin 13 feb.,Neutral
"so nothing here new, looks the same engine as s22 ultra. although also, blade looks just like this was probably made to be overly cringy to everyone except maybe my gen z.",Negative
I hope to stop using apple 😑 😍 this one is gonna be super.,Positive
my cringe,Negative
And did you know the galaxy S 23 ultra S pen actually has hover,Neutral
Me watching this video with my Samsung Galaxy S10 😢,Neutral
"0:21 It’s called TrueTone, we’ve had this on our iPhones for YEARS.",Neutral
Alright this was an awesome video,Positive
"I don't get it, where the MicroSD slot we all wanted?",Negative
Pls don't mention the iPhONe here.. it's uncomparable...pls,Negative
It's kinda cringe though,Negative
"Still s8 ad is the best
A s8 user",Positive
Simply nice 👌🏽,Positive
i too was getting the real feel of s22 ultra and in the whole business [UNK],Neutral
who has time to use full time or wasting time 😂 every body used only for text media make calls and photos 1080p 😂😂 wasting time amigos so,Negative
i was getting the feel of s22 ultra in the whole video🤣,Neutral
Nothing new,Neutral
"I watched this video using a Samsung Galaxy Grand Prime, hopefully I can get a Samsung S23 Ultra. 😆",Positive
very too expensive for a nothing,Negative
"though my flip 4 has long been delayed production for still more than 60 consecutive days and has not shipped up yet,... and you still want people watching to give pre - order?",Negative
My dream phone ❤️,Positive
Is the Google Pixel 8 Pro camera sensor and Tensor G3 processor going to be inferior than S23 Ultra?,Neutral
Send me this for review plzz,Neutral
Just taken pre order for S23 Ultra 512 GB RED and can't wait to hand's onnnn 🔥🔥,Positive
I bought this today❤😊,Positive
if premium high and mid - bugged look all similar today why should so i just buy the new premium? you in the same place ( i and you ) are no different.,Neutral
This will set history,Positive
Where’s The Notch?? 😂😂,Neutral
Can I have one for free Samsung plzz🙏🙏,Positive
Worst phone of century- samsung,Negative
Can it be found in shops especially in Saudi Arabia please?,Neutral
"the video video is still quite blurry, in the dvd selfie - the guys face actually came inside out way not too soft",Negative
"Now this is INNOVATION...
not some yet another drama from ifon devz

Kudos to Samsung and the Team. You guys are awesome for making such masterpiece 👊🥰",Positive
can now you maybe add some nd this filters to the cameras and which ones can one possibly buy?,Neutral
"difference between samsung and iphone is that, samsung know that they are awesome, they make perfect stuff, so they dont need to disable their comments in their youtube channel, unlike iphone they are afraid that people are gonna abuse them for what they offer, so they just disable the comment section",Positive
Did they really just add an obligatory black person right at the end of the advert?,Neutral
same thing exist as s22 for ultra imma s pass,Neutral
"*Most powerful processor *
Laughs in Bionic.",Positive
the welp nothing this crazy... but miss the very old days where computer innovations was pushing inovations,Neutral
"Whats new
Samaung, introduces new vocabulary",Neutral
WHAT IS THE POINT OF UPGRADING THE BACK CAMERA TO 200MP ONLY TO BRING DOWN THE FRONT CAMERA TO 12MP?? Ugh why not keeping the s22 ultra 40MP camera as well?!,Negative
today i pre order since already the new 1tb,Neutral
the pre - order deals are terrible : / is no password upgrade required for calling me,Negative
"Nice comercial but like there is literally no reason to switcj from my s22 ultra to s23ultra, they pulled an APPLE move and released the same phone, im disappointed",Negative
Apple Crying,Neutral
did they even really normally just add with an obligatory missing black person right at the end of delivering the next advert?,Neutral
"for without a complete top top of the line device, this ad show is not making me want to buy s23 plus ultra half as fucking much as previous editions phones ads were not published, even though the now defunct note line devices for ads were better than this latest one. you used today to do so much better samsung. disappointed.",Negative
That astrophotography?!?! I NEED IT!!!!,Positive
"Reading some of these comments, makes me wonder if I'm one of the few people that are still real.",Neutral
That's an EPIC commercial..... Love s23 🤩,Positive
watching our hearts dreams 2 [UNK],Negative
Okay you know what i'm thinking right now.... iPhone should come and watch this commercial,Positive
Background music from IronMan first flight.,Neutral
S22 ULTRA is available everyone,Neutral
I want both iPhone pro and galaxy s 24,Positive
kill the gun i phones with [UNK],Negative
Nice phone I like it,Positive
"〜 [UNK] [UNK] an introduction of everything, beautiful but nothing new! ） [UNK]",Neutral
ad is not always good but here i may consider s23 ultra if like its as available has at appropriate buy price.,Neutral
quick share= airdrop... late in the game but still they had a chance to look from someone hah,Neutral
"Let's take a moment to appreciate samsung for not turning off comments like apple always does 👏❤

I've really started to enjoy their personality more.",Positive
maybe more useless equipment and maybe unnecessary technocrap.,Negative
ok this is just crazyy,Negative
Just upgraded to this from S21 Ultra.,Neutral
i sure was never crazy for my mobiles but look now,Neutral
i worst phone of 19th century - samsung,Negative
... who became i p? [UNK],Neutral
Is this phone have external Ss card ??,Neutral
"terrible happy introduction video, aswell remarked as the ceremony unveiling arrived and the unpacked event was itself, just just unprofessional and really cheap. last years general unpacked sales and marketing was pretty perfect",Negative
I wish the z fold4 came with flagship cameras...hopefully the fold 5 will,Positive
Where are the apple fansboys now 😂😂😂,Neutral
"Galaxy member since Galaxy Edge 7, i have s22 ultra i'm so happy, but i change My phone every 4 years so SEE ya in 2026!",Positive
This is why I am a Samsung fan...but can't afford,Negative
Love this commercial,Positive
Nothing is really new its just an improvement of the last model...im waiting for a more game changer phone...samsung havent advance the game yet..Iphone can still surpass this phone...,Positive
"so curved film screen breaks open easily, just turn off to the screen, it is very bad, what do here you usually do just to also waste its time and money because of it tears the memory [UNK]",Negative
"Me: Fantastic phone, now let's talk about the price. 
Samsung: it's just a few bucks 
Me: how much
Samsung: Well, you know the price 
Me: echo",Positive
Name of the Girl ? Anyone Knows ??,Neutral
"it's a good camera but it was overheated.. the s23 needs already to be replaced, my said the seller earlier at sm mall. so i'm really disappointed. however, samsung has released many branded products and then the note series, samsung note10 to 20 collapsed. series'strongest cellphone, does not heat up.. / than you compared these to the new samsungs that now overheat, since compisca the note 7 series lineup has been changed more by big samsung because other brands that already are its partner are at a loss.",Negative
I think this is the most fancy Phone Introduction of Samsung right now. 😁😁😆,Positive
That's it?,Neutral
Please just give us the SD card slot back. Its not slow thats just greedy. If you gave it back it would be the perfect phone.,Positive
yet another rather expensive phone that people will buy keep safe for less than a half year and buy again the same next last one the that will be even longer more,Negative
"SD Card .... Bring it back SD Card 
 Bring back removal storage 
At least Give customers the option",Neutral
Ad is so impressive 👏,Positive
I'm just glad Samsung doesn't close the comments section like Apple.,Positive
I have to admit that this focus on the camera including Astro photography and low light seems pretty great.,Positive
Do not buy any Samsung products! They are pieces of junk that will slow down and malfunction the moment they force their software updates upon you. I will never buy another Samsung product again stay away,Negative
you mention that the price tag also and then it will.....,Neutral
No SD card?,Neutral
can their minecraft work in from this handheld phone on using hight graphics?,Neutral
but why that guy he talks like hell he came from buried under a low rock.,Negative
Whats new ..???  Increasing price.....!!,Neutral
"The most underwhelming phone premiere I've see to date. The main narrative was about the camera as if a device that is as versatile as a smartphone (being in many case almost as powerful as laptops nowadays) is used primarily and almost exclusively to create content on different levels. So we got buried in even more megapixels (which mean little as I'm sure a lot of photography pros know) and more lenses and more FPS. What happened to innovation to the ecosystem? The UI? Satellite connectivity? Emergency features? Crash detection? Faster battery charging? eSim? Anything new? Anything? I'm still rocking an S10 which does everything exactly the same way the new S23 does. Why would I change? I don't shoot Aliens:Covenant on my phone, nor do I ever intend to. Are the Samsung phones now targeted exclusively towards wannabe cinematographers and photographers? Hard pass for me.",Negative
another useless invention. so left only some software in gimics code and some improvements in my camera which people will just rarely really use yet for day back to day photography. would rather probably get a different camera. make something new samsung,Negative
Was waiting for samsung to release S23 for a long time n finally s23 is out n it's crazy man... Hope I can afford to buy my dream phone one day...,Positive
Tell me whats the different from s22 ultra? Since i got not good experiences after buying s22 ultra.,Negative
"Hey iPhone , your time of death has come so close",Neutral
"No matter what but I'll always stick with my s23 ultra now ❤ its been 10 months already & am satisfied with it 
Samsung never disappoints 
Its been a long time wanted to Upgrade for a Flagship that's worth it ❤❤",Positive
OLD is now NEW 😢,Negative
Watching on my A51 😊,Positive
am when i also the absolute only one now that can't stand the selfie camera so blatantly coming all up in on the screen,Negative
"well, after watching this video i realize there isn't actually anything new. improved ois, improved nightography, vision booster and environmental friendliness for marketing. telephoto same, display same. and nightography and vision booster are just software improvements that could be offered as an update to s22 ultra, but that won't happen, people shall pay again to get something they could already have had last year. s23 ultra is just an s22 ultra in which the deliberate shortcomings have now been eliminated.",Neutral
then whats i new? [UNK],Neutral
Nice good s23 ultra ultimate but next s24 ultra came in more pieces than glass . Samsung galaxy S24 Ultra .and. I'm Writing 🤔,Positive
"could have easily stopped after the first line ""whats new? "" - ""nothing""",Negative
"Nice, this was a fun video! I may upgrade this time.",Positive
"I DONT CARE ABOUT CAMERA UPGRADE, IM A GAMER AND I HOPE BATTERY LIFE IS LONGGGGGGG AND FIXED",Negative
I phone way better,Positive
Still sticking with my S20 Ultra for another two years or so. But looks good!,Positive
does finding it really run true on'bharos '?,Neutral
Just bought s23 ultra today ❤️,Positive
Bore,Negative
What's the difference between this one and the s22?,Neutral
well hey ya what'im s my new......,Neutral
time to quickly upgrade max from my own s7,Neutral
Hi im use s23 ultra and the chrome bezel wasnt build realy well the paint was so bad and can't claim s+ waranty because its not phone software eror lol what a joke,Negative
hey what's new? the gimmicks of the front camera called dynamic island 😅,Neutral
Basically everything is same🤣,Neutral
Seems just way Fun like in the past😄😅😂,Positive
"iphon ,💩💩💩💩💩💩💩",Negative
Not really that crazy just the 200 mp is wild,Neutral
That is 5G 😊❤,Positive
Saving up to buy S20 ultra still.. S23 is a dream. ❤️❤️❤️,Positive
I have iPhone and I’m good.,Positive
Ok that was underwhelming,Negative
I have a iPhone 12 but it’s getting slow after like 11 months I want to get a s23 ultra next,Positive
over £600!! not no thanks thanks. very over priced rip off.,Negative
"this whole commercial and especially the procesosor part is still so cringe, iphone commercials there are actually just getting better",Negative
Commercial its iphone🔥🔥,Positive
"Try next time for Samsung S 24 to look, like a smaller size S 23 Ultra. I mean the shape in the corners to be the same as the note. A smaller size Note for people with small hands, change the corners of the screen",Neutral
can't afford to buy such things a high price mobile.. is a kind religious person... can thus give back a gift to [UNK],Neutral
Honestly kinda meh…,Neutral
Why are people so obsessed with camera on a phone,Negative
"The best way to shoot quality photos with the new Samsung Galaxy S32 Ultra is to use the 50MP mode and then scale down the size to 4000 x 3000 pixels (12MP, 4:3 aspect ratio) or crop the latter to 4000 x 2250 pixels (9MP, 16:9 ratio). This results into extremely detailed photos with small file size. I'm wondering, why the ""Samsung"" engineers were not smart enough to include those two options in the phone's camera app? I used to have S21 and did the same trick with its 64MP photos that I scaled down to incredibly natural looking 9MP ones with an aspect ratio of 16:9. The default 12MP photos of S23 Ultra are oversharpened and unnatural.",Neutral
Been between samsung and iPhone and honestly I miss samsung not a boring phone at all you learn something new ever day,Positive
THIS IS HOW  A COMMERCIAL SHOULD BE…!!!!!,Positive
Yeeeh think different😎,Neutral
"I just got my s22 ultra that past June holy, nah gonna stick with mine for another year or so.",Neutral
<Iphone 😮‍💨,Neutral
i feel bad especially for anyone buying iphone 14 and [UNK],Negative
"Look it's a weak male, gj Samsung at least you didn't go full woke",Neutral
Apple learn something from Samsung,Neutral
that camera is horrible iphone still keeping the goat samsung can still keep for the 100x and zoom a [UNK],Negative
"I didn't see any good side, I was expecting a big innovation from S23, especially in the design, but those old things, as for the camera, there is night photo and 8k video mode since S10, so I didn't like S23 at all.",Negative
Just enjoy with my SONY XPERIA PRO-I 😌❤️,Positive
the next year will see now would have one 22,Neutral
Rotfl... Silly comercial,Negative
2 where are [UNK] if [UNK],Neutral
Woooow its amazing 😍😍😍,Positive
"this took me back to the S3 commercial video when it said
designed for humans,inspired by nature
time flies...",Positive
"Am NOT so sure about that Snapdragon 8 Gen 2 ""for galaxy""",Negative
Is this really Samsung's new flagship phone commercial commercial ?,Neutral
"The ads are so cringe af, i can't 🤣",Negative
Best Android phone to grab right now. Well executed Samsung!,Positive
will the small rest of the free world really get over the snapdragon chips or another exynos chip?,Neutral
samsung galxy s8 and note 8 ad is legendary,Positive
Great one! Both intro film and the product looks absolutely promising.,Positive
can’t wait for mine!,Positive
"i can't believe people is openly praising samsung for buying their "" new new phone "" thing but they in reality says there't s just nothing special in it.",Negative
i love the ad,Positive
"Let's be real here. The most important question is. Is it worth that much? I don't believe so. The entire phone industry went off the rails. Today, this is a camera with a SIM card rather than a phone. Who needs 8k? Even now, 70% of households lack 8K televisions. So there is no need for this. Who requires 200 MP images? Everybody creates images on the fly. Perhaps we have two or three days a year to test all the other features, but in the end, hardly nobody uses this. Prices are becoming absurd, obscene, greedy, and disgusting. Samsung has not really convinced me with this model till some fresh innovation occurs.",Negative
Awesome but no money anyway,Positive
Me watching this on my Galaxy s22 ultra😁😆😝,Positive
I have an s21 ultra phone over heats after 25 min of using camera.  Will I have the same issue?,Neutral
The Most Epic Phone right now.,Positive
5000mah but still can’t beat i phone,Negative
***  and above all is ... cheap ! ***  🤣😂😇😛😛😛,Positive
s23 over the horizon 也太难听了,Neutral
The ads put a smile on my face,Positive
"Switched from the iphone 14 pro max to s23 ultra, im loving it, one issue, when i take pictures on the 200 mega pixel camera and take pictures, it turns out fine, but after the ai fixes it, it turns blurry, any reason?",Positive
"If they just make the software on par with how friendly ios’ software is, id get it",Positive
I'm positive with this phone so far.,Positive
"this television is only meant for too rich little people, since i just came to watch new phone",Negative
Same like Samsung S22 Ultra with some modification.. Awesome it is 💕,Positive
"it's more like like having youtube to rewind, about the concept [UNK]",Negative
Charger included?,Neutral
One of their best commercials,Positive
When you a so confident about yourproduct you do not turn off commenting. Still wish the lcds were cheaper.,Neutral
Samsung created this film with in mind that people will ask what's new than s22 ultra 🔥,Neutral
What's not new is the boring design 😭,Negative
still not much impressed.... some [UNK],Negative
They should add a built in screen recorder like apple what do you guys think,Neutral
it's the black dude people coming running after him all had been said more [UNK],Neutral
2023 is for Samsung no doubt,Positive
Now this was fun to watch,Positive
"Absolutely disappointing.
No new innovation, no new designs.
Just update of see ultra .
Thums down",Negative
who even else came here to watch here before but no enough money here to buy me it!!,Negative
"i only just got my last s22 for ultra that past this june... holy, nah me gonna stick with mine for another year or so so.",Neutral
Ad is not good but I may consider s23 ultra if its available at appropriate price.,Neutral
Punch hole??? Naah,Neutral
"Did an update on the phone and now i can't access it, you have no idea how pissed i am Samsung.",Negative
Im excitedbto upgrade from s21 ultra to this beast!!! 🥰🥰😍😍😍,Positive
Also Samsung: let the loans start🤑,Neutral
Can I trade my s22 ultra 5g with the 23 ultra,Neutral
Imaging hitting on a girl and got kidnap into the ocean,Negative
"Bruh, I expected a better official introduction video for the S23 Ultra. The Galaxy S21 and S22 Ultra introductions were so amazing!",Positive
Watching on s22 ultra!,Neutral
"People are always saying the iPhones look the same, but compare this to the s22",Neutral
"1/ The keypad, recents and contacts icons should be in the Samsung phone app. 2/ The dark mode in Samsung smartphones should be on by default. 3/ S pen should be with a lightweight phone. 4/ YouTube app should not be inbuilt. 5/ Remove the Galaxy Store and replace it with System App Updater like Xiaomi.",Neutral
take my damn money.. 6 now,Negative
It's epic,Positive
"Finally Samsung has shed some light on videography. Upto the S22 series, this was the only problem. Looks like they've solved it in it's predecessor",Positive
Translation: nothing new since s9,Neutral
OMG!!!!!!!!!samsung while I was admiring all the incredible phones that you have been releasing and now this amazing phone is wow!!!!!!💜💜💜 I wish I had it and I will one day ...... keep going on like this samsung you are the best 😍💜,Positive
Another gimmick like how to tried to proved s22u is an amazing phone but it was fcking regrattable to have it. S22u will be my last samsung phone. Switching to iphone.,Positive
wow this ad is impressive 👏,Positive
now give me a free one,Neutral
Switching to Samsung I'll think about it!!,Neutral
I'n future the I'll launch s23 f ♡♡♡ I will go it.(hope),Positive
"I have been buying Samsung devices sense 21 ultra. This was the trade in offer I have ever seen. $500 for a $1,500 phone, you would offer $1,000 for a less than month again. I have loyal to your products for years, I'm apart of the ecosystem. Watch, tablet, 360 pro, ultra 22. This was a joke and insult to your established customers.",Negative
I am from Cambodia.  Fan Samsung 4 ever .,Neutral
WOOOW!!! Just bye iPhone ,Positive
Same as the S22 ULTRA hahaha,Neutral
I bought the S21 ultra and I thought of using it till maybe S25 or 26 but S23 seems really promising and I just ordered mine 😅 Samsung you're really gonna make me poor,Positive
"Samsung sir bolchen chole astechi.15 dollar hour,10 dollar a parts.Prepare con.3 years min.500 dollar compansation.If before leave.",Neutral
You can't white wash the waste you're releasing your product by minimal update increments.,Negative
